Year,Registered Vehicles,Population,Road Crashes,Road Deaths,Serious Injury,Slight Injury,"Index per 10,000 Vehicles","Index per 100,000 Population",Index per billion VKT,,,,
1997,"8,550,469","21,769,300","215,632","6,302","14,105","36,167",7.37,28.95,33.57,,,,
1998,"9,141,357","22,333,500","211,037","5,740","12,068","37,896",6.28,25.70,28.75,,,,
1999,"9,929,951","22,909,500","223,166","5,794","10,366","36,777",5.83,25.29,26.79,,,,
2000,"10,598,804","23,494,900","250,429","6,035","9,790","34,375",5.69,25.69,26.25,,,,
2001,"11,302,545","24,030,500","265,175","5,849","8,680","35,944",5.17,24.34,23.93,,,,
2002,"12,068,144","24,542,500","279,711","5,891","8,425","35,236",4.88,24.00,22.71,,,,
2003,"12,819,248","25,038,100","298,653","6,286","9,040","37,415",4.90,25.11,22.77,,,,
2004,"13,764,837","25,541,500","326,815","6,228","9,218","38,645",4.52,24.38,21.10,,,,
2005,"14,733,585","26,045,500","328,264","6,200","9,395","31,417",4.21,23.80,19.58,,,,
2006,"15,790,732","26,549,900","341,252","6,287","9,253","19,885",3.98,23.68,18.69,,,,
2007,"16,813,943","27,058,400","363,319","6,282","9,273","18,444",3.74,23.22,17.60,,,,
2008,"17,733,084","27,567,600","373,071","6,527","8,868","16,879",3.68,23.68,17.65,,,,
2009,"18,933,237","28,081,500","397,330","6,745","8,849","15,823",3.56,24.02,17.27,,,,
2010,"20,006,953","28,588,600","414,421","6,872","7,781","13,616",3.43,24.04,16.21,,,,
2011,"21,311,630","29,062,000","449,040","6,877","6,328 ","12,365",3.23,23.66,14.68,,,,
2012,"22,590,123","29,510,000","462,423","6,917","5,868 ","11,654",3.06,23.44,13.35,,,,
2013,"23,434,640","30,213,700","477,204","6,915","4,597 ","8,388 ",2.95,22.89,12.19,,,,
2014,"25,101,192","30,708,500","476,196","6,674","4,432 ","8,598 ",2.66,21.73,10.64,,,,
2015,"26,301,952","31,186,100","489,606","6,706","4,120 ","7,432 ",2.55,21.50,9.60,,,,
2016,"27,638,067","31,633,500","521,466","7,152","4,506 ","7,415 ",2.59,22.61,10.70,,,,
2017,"28,738,194","32,049,700", TBA ,"6,740", TBA , TBA ,2.35,21.03,9.59,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
