State ,Year,Death_Case
JOHOR,2003,983
KEDAH,2003,534
KELANTAN,2003,314
MELAKA ,2003,228
NEGERI SEMBILAN,2003,337
PAHANG ,2003,438
PERAK ,2003,739
PERLIS,2003,54
PULAU PINANG,2003,389
SABAH,2003,310
SARAWAK,2003,290
SELANGOR,2003,"1,083"
TERENGGANU,2003,311
WILAYAH PERSEKUTUAN              ,2003,273
JOHOR,2004,"1,014"
KEDAH,2004,474
KELANTAN,2004,279
MELAKA ,2004,259
NEGERI SEMBILAN,2004,323
PAHANG ,2004,445
PERAK ,2004,798
PERLIS,2004,34
PULAU PINANG,2004,403
SABAH,2004,300
SARAWAK,2004,294
SELANGOR,2004,"1,050"
TERENGGANU,2004,301
WILAYAH PERSEKUTUAN              ,2004,249
JOHOR,2005,"1,022"
KEDAH,2005,482
KELANTAN,2005,292
MELAKA ,2005,227
NEGERI SEMBILAN,2005,351
PAHANG ,2005,448
PERAK ,2005,713
PERLIS,2005,63
PULAU PINANG,2005,371
SABAH,2005,319
SARAWAK,2005,346
SELANGOR,2005,"1,064"
TERENGGANU,2005,271
WILAYAH PERSEKUTUAN              ,2005,231
JOHOR,2006,"1,017"
KEDAH,2006,494
KELANTAN,2006,331
MELAKA ,2006,232
NEGERI SEMBILAN,2006,337
PAHANG ,2006,451
PERAK ,2006,726
PERLIS,2006,63
PULAU PINANG,2006,381
SABAH,2006,296
SARAWAK,2006,347
SELANGOR,2006,"1,050"
TERENGGANU,2006,307
WILAYAH PERSEKUTUAN              ,2006,255
JOHOR,2007,"1,023"
KEDAH,2007,492
KELANTAN,2007,374
MELAKA ,2007,227
NEGERI SEMBILAN,2007,320
PAHANG ,2007,437
PERAK ,2007,811
PERLIS,2007,41
PULAU PINANG,2007,376
SABAH,2007,316
SARAWAK,2007,316
SELANGOR,2007,"1,025"
TERENGGANU,2007,290
WILAYAH PERSEKUTUAN              ,2007,234
JOHOR,2008,"1,065"
KEDAH,2008,496
KELANTAN,2008,380
MELAKA ,2008,243
NEGERI SEMBILAN,2008,389
PAHANG ,2008,446
PERAK ,2008,829
PERLIS,2008,69
PULAU PINANG,2008,354
SABAH,2008,325
SARAWAK,2008,318
SELANGOR,2008,"1,083"
TERENGGANU,2008,293
WILAYAH PERSEKUTUAN              ,2008,237
JOHOR,2009,"1,060"
KEDAH,2009,550
KELANTAN,2009,453
MELAKA ,2009,248
NEGERI SEMBILAN,2009,377
PAHANG ,2009,512
PERAK ,2009,829
PERLIS,2009,90
PULAU PINANG,2009,395
SABAH,2009,345
SARAWAK,2009,332
SELANGOR,2009,976
TERENGGANU,2009,348
WILAYAH PERSEKUTUAN              ,2009,230
JOHOR,2010,"1,076"
KEDAH,2010,532
KELANTAN,2010,380
MELAKA ,2010,235
NEGERI SEMBILAN,2010,399
PAHANG ,2010,574
PERAK ,2010,820
PERLIS,2010,66
PULAU PINANG,2010,370
SABAH,2010,447
SARAWAK,2010,365
SELANGOR,2010,"1,061"
TERENGGANU,2010,314
WILAYAH PERSEKUTUAN              ,2010,233
JOHOR,2011,"1,073"
KEDAH,2011,515
KELANTAN,2011,392
MELAKA ,2011,240
NEGERI SEMBILAN,2011,374
PAHANG ,2011,563
PERAK ,2011,811
PERLIS,2011,79
PULAU PINANG,2011,392
SABAH,2011,398
SARAWAK,2011,442
SELANGOR,2011,"1,070"
TERENGGANU,2011,292
WILAYAH PERSEKUTUAN              ,2011,236
JOHOR,2012,"1,073"
KEDAH,2012,548
KELANTAN,2012,392
MELAKA ,2012,243
NEGERI SEMBILAN,2012,352
PAHANG ,2012,540
PERAK ,2012,753
PERLIS,2012,71
PULAU PINANG,2012,400
SABAH,2012,450
SARAWAK,2012,443
SELANGOR,2012,"1,102"
TERENGGANU,2012,301
WILAYAH PERSEKUTUAN              ,2012,249
JOHOR,2013,"1,128"
KEDAH,2013,517
KELANTAN,2013,378
MELAKA ,2013,258
NEGERI SEMBILAN,2013,396
PAHANG ,2013,592
PERAK ,2013,770
PERLIS,2013,72
PULAU PINANG,2013,381
SABAH,2013,420
SARAWAK,2013,421
SELANGOR,2013,"1,019"
TERENGGANU,2013,320
WILAYAH PERSEKUTUAN              ,2013,243
JOHOR,2014,"1,018"
KEDAH,2014,525
KELANTAN,2014,354
MELAKA ,2014,236
NEGERI SEMBILAN,2014,379
PAHANG ,2014,539
PERAK ,2014,750
PERLIS,2014,61
PULAU PINANG,2014,378
SABAH,2014,420
SARAWAK,2014,432
SELANGOR,2014,"1,068"
TERENGGANU,2014,276
WILAYAH PERSEKUTUAN              ,2014,238
JOHOR,2015,"1,040"
KEDAH,2015,530
KELANTAN,2015,426
MELAKA ,2015,256
NEGERI SEMBILAN,2015,355
PAHANG ,2015,532
PERAK ,2015,726
PERLIS,2015,65
PULAU PINANG,2015,360
SABAH,2015,392
SARAWAK,2015,433
SELANGOR,2015,"1,028"
TERENGGANU,2015,307
WILAYAH PERSEKUTUAN              ,2015,256
JOHOR,2016,"1,135"
KEDAH,2016,572
KELANTAN,2016,453
MELAKA ,2016,247
NEGERI SEMBILAN,2016,414
PAHANG ,2016,539
PERAK ,2016,789
PERLIS,2016,67
PULAU PINANG,2016,411
SABAH,2016,379
SARAWAK,2016,432
SELANGOR,2016,"1,140"
TERENGGANU,2016,342
WILAYAH PERSEKUTUAN              ,2016,232
JOHOR,2017,"1,067"
