state,date,sex,age,population
Johor,01/01/2018,both,overall,3749.4
KEDAH,2018,both,overall,2163
KELANTAN,2018,both,overall,1860.5
MELAKA,2018,both,overall,922.4
NEGERI SEMBILAN,2018,both,overall,1122.9
PAHANG,2018,both,overall,1664.7
PERAK,2018,both,overall,2503.5
PERLIS,2018,both,overall,253.5
PULAU PINANG,2018,both,overall,1762.8
SABAH,2018,both,overall,3898.4
SARAWAK,2018,both,overall,2791.7
SELANGOR,2018,both,overall,6475
TERENGGANU,2018,both,overall,1228.3
W.P. KUALA LUMPUR,2018,both,overall,1790

